userId,tmdbIds
1,"[21849, 8391, 880, 391698, 775, 48787, 34574, 140420, 11980, 52856, 27303, 28313, 30304, 41647, 11596, 40480, 11853, 8223, 52873, 97989]"
2,"[47449, 45325, 49133, 46785, 10534, 11104, 52856, 17961, 159185, 30304, 35588, 20967, 38884, 41852, 10543, 27768, 14553, 31546, 8424, 36266]"
3,"[116745, 845, 9264, 15927, 68735, 45317, 31174, 46785, 8447, 11062, 5894, 14069, 10149, 50797, 18713, 17961, 38722, 30304, 159185, 72113]"
4,"[65889, 34760, 3782, 897, 16131, 8391, 49133, 51352, 775, 15730, 48787, 140420, 28313, 159185, 18242, 8223, 97989, 48144, 38955]"
5,"[140420, 18971, 10534, 51352, 5894, 10531, 14819, 159185, 315, 10280, 15060, 52059, 36266, 124837, 31225, 335, 4485, 82682, 147538, 9458]"
6,"[15060, 14342, 34760, 16023, 7214, 49133, 48750, 15730, 14819, 47504, 30304, 159185, 315, 18242, 2088, 38884, 41852, 11101, 36266, 48144]"
7,"[49133, 7300, 38884, 36266, 198, 144, 3086, 37557, 10534, 11104, 14069, 52856, 17961, 159185, 31439, 35588, 31642, 228150, 20967, 47449]"
8,"[11296, 15762, 13435, 19666, 49133, 11104, 10949, 140420, 50797, 47504, 40156, 30304, 8981, 70670, 576, 15060, 16131, 8424, 36266]"
9,"[21032, 20967, 36266, 26531, 1480, 14785, 9013, 10784, 49133, 46785, 10949, 15730, 140420, 30304, 41647, 83186, 14553, 8618, 8424, 48144]"
10,"[50797, 31439, 11178, 18161, 68735, 49133, 63076, 10949, 37557, 14069, 140420, 52856, 17961, 159185, 55615, 41647, 10427, 387893, 20967, 32562]"
11,"[1909, 11661, 28178, 34615, 31174, 49133, 46785, 8447, 10534, 10741, 32646, 50797, 10531, 21183, 38722, 159185, 72113, 31439, 9059, 11939]"
12,"[51352, 195, 22915, 13704, 8391, 49133, 391698, 48787, 34574, 52856, 28313, 159185, 40480, 8223, 52873, 117629, 41852, 97989, 10280, 48144]"
13,"[72113, 82682, 55787, 50646, 49133, 46785, 10534, 10741, 140420, 10149, 50797, 17961, 38722, 11593, 40156, 159185, 30304, 12527, 10464, 10660]"
14,"[14334, 34760, 13795, 32567, 49133, 10534, 63076, 51352, 30157, 140420, 14819, 9061, 315, 41852, 36266, 22490, 32574, 10938, 56830, 31530]"
15,"[36266, 147538, 18603, 21849, 67307, 19118, 24249, 8391, 49133, 391698, 48787, 34574, 28313, 159185, 8223, 97989, 83186, 38955, 29376]"
16,"[31439, 10217, 9264, 18161, 37557, 46785, 63076, 77350, 17961, 30304, 159185, 41647, 507, 20967, 18414, 922, 83186, 10547, 15060, 9801]"
17,"[34760, 31023, 67307, 19118, 19133, 24249, 278990, 10741, 291, 8391, 49133, 391698, 48787, 34574, 28313, 159185, 40480, 8223, 97989, 83186]"
18,"[145, 11296, 293660, 46785, 30157, 15730, 18713, 17961, 11008, 159185, 10497, 44264, 17600, 8766, 26890, 15060, 14553, 36266, 20318, 223]"
19,"[49133, 851, 29251, 12144, 4486, 15119, 3022, 41277, 43004, 31011, 29589, 246741, 55207, 13990, 74306, 27030, 8391, 391698]"
20,"[45612, 44115, 49133, 140420, 6715, 47504, 30304, 34152, 436, 15876, 21450, 38884, 47449, 10543, 922, 18499, 37557, 14553, 31546, 8424]"
21,"[14342, 19426, 12889, 32640, 24447, 167966, 13253, 15060, 49133, 51352, 14069, 52856, 41647, 315, 43004, 18499, 16131, 36266, 29376]"
22,"[4481, 6646, 11194, 47168, 12310, 41498, 13222, 49133, 63076, 775, 30157, 140420, 50797, 10531, 47504, 38722, 14334, 41647, 20967, 38884]"
23,"[29251, 8391, 49133, 391698, 51352, 48787, 34574, 140420, 28313, 159185, 8223, 97989, 83186, 10280, 36266, 48144, 11985, 23114, 85328]"
24,"[9059, 47889, 17600, 8766, 11202, 10217, 404, 4203, 5156, 33078, 10774, 24447, 41498, 16420, 17015, 11859, 51352, 5894, 15730, 9071]"
25,"[14069, 31225, 1779, 10683, 16337, 668, 68735, 225130, 46785, 11104, 15730, 52856, 21183, 11008, 38722, 30304, 159185, 18242, 51739, 21450]"
26,"[10705, 422, 36865, 10162, 9264, 145247, 18900, 11104, 775, 5894, 77350, 50797, 14819, 5544, 662, 72113, 8981, 16453, 319067, 32562]"
27,"[10633, 13321, 9298, 25188, 3082, 13222, 13783, 63076, 10874, 10949, 5894, 31439, 41647, 20967, 17600, 18414, 27768, 922, 31546, 8618]"
28,"[34760, 35976, 15927, 44115, 13716, 21032, 49133, 51352, 15730, 17961, 30304, 159185, 18242, 35588, 83186, 85778, 14553, 48144, 36266, 29376]"
29,"[308369, 35196, 49133, 11044, 21032, 11104, 10949, 77350, 10451, 159185, 55615, 72113, 8981, 16453, 70670, 32562, 576, 8766, 18414, 83186]"
30,"[97989, 28463, 10613, 10728, 125707, 35650, 931, 10889, 19460, 67062, 54155, 32761, 46738, 60141, 21135, 89708, 103328, 34283, 8016, 8391]"
31,"[20967, 8424, 11710, 19666, 11044, 63076, 775, 5894, 50797, 14819, 5544, 159185, 55615, 14334, 72113, 8981, 41647, 319067, 21450, 41852]"
32,"[8618, 3116, 13373, 2196, 45325, 17015, 49133, 46785, 10534, 406, 51352, 30157, 15730, 50797, 17961, 159185, 72113, 16453, 436, 35588]"
33,"[21032, 103663, 51352, 30157, 5894, 14819, 20967, 97989, 5801, 83186, 10280, 85778, 11101, 36266, 11985, 38955, 32574, 31102, 56830, 74239]"
34,"[65749, 195, 49133, 391698, 15730, 159185, 97989, 83186, 48144, 36266, 29376, 23114, 85328, 74239, 147538, 65889, 30020, 43278, 37550, 14785]"
35,"[21349, 10219, 45325, 30157, 12527, 32562, 41852, 32513, 52059, 36266, 198, 32574, 18203, 24795, 56830, 11331, 4481, 54405, 11235, 830]"
