userId,movieId,rating,timestamp,label
332,6333,1.5,1147971652,2
528,441,4.5,1143758352,8
292,4306,4.5,1140051271,8
9,2501,4.0,938628966,7
620,87876,0.5,1455531854,0
505,4310,3.0,1340414606,5
235,4308,4.5,1113185418,8
119,2143,3.0,960671726,5
184,595,4.0,833524803,7
278,401,4.0,984560555,7
664,1136,4.5,1343746875,8
294,1270,4.0,1161746877,7
309,2791,5.0,1122487405,9
491,2715,1.0,940796196,1
73,8371,3.0,1456039039,5
234,3451,3.0,1213808139,5
198,1089,2.0,1068822632,3
508,593,5.0,844375956,9
15,47,5.0,1054449816,9
73,8373,2.5,1256030665,4
102,1944,5.0,956598898,9
624,91688,1.5,1373227853,2
181,8528,4.0,1154543028,7
568,593,5.0,835002305,9
292,1358,3.0,1140049524,5
463,4478,4.0,1051711789,7
41,2521,3.5,1093889882,6
245,3996,2.0,1011317334,3
56,1256,4.0,1467009159,7
529,3635,3.0,959966549,5
514,47,4.0,853893935,7
247,7,3.0,953361791,5
268,2268,3.0,1314895653,5
653,1097,4.0,948158467,7
412,1562,1.0,993092269,1
391,1212,5.0,891534357,9
17,4914,5.0,1127471176,9
188,349,4.0,841063510,7
378,5989,4.5,1443625470,8
195,3952,3.0,975416174,5
472,46322,4.5,1172530550,8
353,26614,4.0,1233617459,7
548,586,3.0,857406800,5
235,3176,4.5,1113184806,8
483,8798,5.0,1465387557,9
636,640,4.0,855227364,7
471,2903,3.5,1252616421,6
321,1580,3.0,939420702,5
224,30,4.0,828786667,7
380,88744,3.0,1324429219,5
494,2329,4.5,1342747925,8
468,65130,2.5,1296203511,4
407,608,5.0,962646120,9
311,4848,3.0,1076968919,5
480,31685,3.5,1339455949,6
547,53123,4.0,1181438556,7
595,1073,5.0,965230634,9
384,6249,2.5,1199317158,4
242,2262,4.0,956687264,7
384,8644,2.5,1153763286,4
73,114060,4.0,1437104690,7
420,903,5.0,892820793,9
297,6216,4.5,1318705270,8
547,4848,4.0,1017859526,7
109,2268,4.0,1153229838,7
164,318,4.5,1182619722,8
518,2410,3.0,945370057,5
284,5,4.0,853878917,7
434,213,4.0,886375433,7
91,71535,4.5,1448798331,8
199,380,3.5,1219674129,6
524,52606,4.0,1256291980,7
195,3972,2.0,978700114,3
564,1373,3.0,974839453,5
478,3147,4.0,1446621727,7
500,344,2.5,1228920531,4
595,778,5.0,965077092,9
585,2064,4.0,975363105,7
563,111,4.5,1410035958,8
294,907,4.0,1048536602,7
664,2058,4.0,1343835417,7
547,26797,5.0,1265820849,9
433,235,4.5,1417930826,8
346,7360,4.0,1159125132,7
652,293,4.0,1439486552,7
73,1391,3.0,1255591429,5
293,541,3.5,1064616290,6
