tmdbId,tmdbIds
862,"[863, 137, 11, 105, 808, 602, 585, 12, 9806, 603, 122, 745, 607, 329, 1891, 680, 8587, 85, 121, 89]"
8844,"[788, 8587, 812, 862, 854, 329, 771, 6950, 568, 858, 3049, 1637, 2164, 37233, 710, 95, 664, 414, 10329, 11310]"
15602,"[9294, 9302, 9268, 2320, 9879, 9304, 9327, 19042, 8866, 11860, 9802, 602, 9091, 9623, 11511, 10534, 11862, 11448, 10478, 9208]"
31357,"[45325, 26391, 32325, 14429, 22586, 47939, 47867, 39310, 48287, 59930, 43634, 43488, 32146, 17949, 18041, 19324, 19357, 17465, 35614, 9039]"
11862,"[9101, 9268, 8866, 2320, 9304, 15602, 9879, 20927, 36355, 9302, 10478, 9623, 1645, 9536, 9091, 9802, 9294, 9208, 114, 11472]"
949,"[275, 524, 9802, 451, 63, 9268, 602, 184, 9208, 629, 103, 2320, 9390, 680, 954, 664, 522, 280, 101, 627]"
11860,"[9294, 8866, 9268, 9304, 2320, 10478, 15602, 10660, 2925, 10684, 22586, 25189, 11448, 4584, 9802, 8840, 11000, 43742, 6620, 10464]"
45325,"[47939, 47867, 48287, 9407, 31357, 22586, 10847, 9623, 150823, 18041, 67307, 40962, 318, 17494, 10651, 34014, 38617, 29185, 19118, 2779]"
9091,"[2320, 25059, 9268, 9623, 11867, 9826, 12121, 9304, 15602, 9057, 9879, 10858, 9294, 8860, 9208, 36355, 2925, 9536, 19042]"
710,"[414, 1572, 9331, 36955, 9350, 268, 280, 9804, 6950, 3049, 329, 1637, 2064, 2164, 114, 5503, 37233, 680, 771, 193]"
9087,"[858, 4584, 11777, 397, 2064, 11566, 36955, 10525, 10731, 114, 712, 11450, 251, 9390, 9587, 788, 5503, 1637, 9603, 8012]"
12110,"[7978, 19042, 9826, 11867, 11525, 36355, 124676, 17198, 4965, 11676, 76176, 42658, 65994, 23750, 8852, 23319, 14694, 8944, 21182, 13150]"
21032,"[25438, 32911, 282848, 18862, 10349, 47941, 40772, 24103, 18519, 23069, 21185, 17832, 9073, 18462, 20242, 34760, 20096, 12499, 2625, 24405]"
10858,"[14112, 9504, 11062, 11145, 34053, 36834, 19429, 20565, 24750, 26522, 25636, 12635, 11191, 20637, 18129, 20649, 28501, 10531, 1645, 13697]"
1408,"[26389, 57201, 37707, 5174, 9271, 11283, 2086, 18550, 440, 35233, 2162, 10756, 10762, 168705, 10947, 14113, 9954, 9992, 11199, 2267]"
524,"[949, 10223, 4518, 769, 184, 275, 2667, 9390, 11368, 1597, 680, 807, 103, 14, 801, 2293, 177, 9559, 2978, 10537]"
4584,"[9087, 7863, 2054, 17015, 9390, 858, 713, 18183, 2064, 22625, 11860, 8866, 688, 10990, 712, 9208, 25189, 11971, 16633, 409]"
5,"[110147, 5172, 38722, 9458, 25557, 8447, 12138, 9445, 79593, 15477, 47502, 46063, 35645, 108176, 1966, 9879, 10871, 9607, 9407, 9786]"
9273,"[3049, 8467, 788, 1572, 854, 13203, 9032, 628, 772, 197, 771, 8587, 816, 9255, 306, 9804, 114, 9739, 11472, 13]"
11517,"[137093, 109439, 252838, 29355, 6951, 26261, 11066, 9099, 8850, 33689, 31638, 144953, 29076, 43109, 18828, 44412, 23685, 10646, 24113]"
8012,"[623, 36955, 568, 241, 712, 5503, 11969, 114, 9800, 37233, 378, 858, 1669, 9087, 11450, 1572, 9603, 629, 788, 244]"
1710,"[11929, 26203, 2086, 17402, 161495, 18402, 19760, 9061, 91217, 17207, 1572, 2088, 17182, 11863, 11980, 10449, 9909, 9400, 19855, 8984]"
9691,"[9057, 26141, 867, 2636, 12121, 44465, 6071, 44968, 17729, 8984, 10424, 3586, 9061, 18395, 2019, 22067, 28121, 150823, 8043, 67307]"
12665,"[4421, 13794, 10982, 14728, 11283, 10674, 4978, 10206, 39953, 21056, 80070, 19797, 41756, 53027, 15850, 17614, 15708, 58467, 31526, 259389]"
451,"[687, 275, 949, 63, 629, 10149, 10858, 11382, 18183, 11450, 279, 18129, 14275, 829, 568, 524, 26748, 252, 238, 278]"
16420,"[22777, 65157, 47070, 14906, 46929, 20343, 11649, 17203, 26573, 47045, 45864, 27273, 20678, 16690, 15482, 11243, 19975, 17132, 22233, 10735]"
9263,"[161495, 35233, 11859, 11574, 41240, 18197, 20815, 7442, 2086, 11177, 8291, 41326, 26306, 50043, 38509, 5780, 63956, 47943, 63639, 39180]"
17015,"[18989, 4584, 10938, 43818, 33740, 31225, 20640, 23378, 10954, 14675, 8447, 57825, 38867, 24736, 11318, 11654, 43232, 40894, 4482, 29912]"
902,"[892, 68, 35196, 23210, 236, 880, 20649, 10149, 23333, 10531, 34444, 695, 11318, 473, 378, 10474, 5894, 46924, 623, 11446]"
37557,"[10452, 28628, 47449, 267, 76330, 4482, 47018, 61752, 131957, 10988, 11844, 50797, 77469, 10997, 8447, 9746, 40480, 10497, 10954, 17402]"
9909,"[8438, 1710, 1572, 3512, 6280, 36955, 10802, 10731, 4954, 161495, 9263, 9560, 11777, 15128, 6520, 1642, 9593, 9061, 9737, 2088]"
63,"[602, 680, 954, 807, 862, 664, 329, 629, 275, 11, 252, 603, 568, 451, 274, 280, 9802, 18, 197, 11000]"
9598,"[36955, 5503, 114, 712, 581, 10020, 788, 568, 812, 680, 8587, 9603, 13, 408, 9331, 105, 424, 137, 278, 197]"
47018,"[46797, 21450, 17961, 40154, 10997, 9300, 10341, 37557, 659, 41007, 649, 124626, 10452, 44705, 50797, 7863, 37975, 161158, 23637, 35797]"
