userId,tmdbIds
1,"[2039, 10849, 10249, 11302, 9442, 25188, 117, 769, 12626, 2028, 11597, 9277, 37247, 829, 10403, 2898, 8009, 30197, 910, 642]"
2,"[8428, 11929, 162, 10464, 10449, 10442, 3933, 2668, 1891, 218, 89, 562, 409, 63, 17015, 7863, 688, 602, 35196, 103]"
3,"[858, 1548, 788, 650, 1429, 9741, 107, 185, 824, 762, 769, 207, 9390, 8874, 500, 243, 489, 100, 694, 101]"
4,"[2657, 10803, 603, 424, 161, 120, 62, 476, 18444, 11360, 25188, 600, 10705, 1578, 696, 207, 968, 1598, 9404, 98]"
5,"[11113, 88, 1164, 10731, 187, 688, 35, 6950, 15144, 11395, 756, 4638, 6073, 2671, 34584, 77, 1734, 9560, 10525, 63020]"
6,"[85, 808, 604, 12, 11, 22, 603, 967, 24, 161, 194, 120, 792, 1891, 28, 38, 180, 98, 640, 746]"
7,"[629, 122, 10409, 364, 121, 1894, 98, 238, 500, 11450, 68, 603, 1893, 275, 857, 11176, 348, 274, 120]"
8,"[9489, 11000, 8326, 10663, 11381, 9066, 9889, 10218, 28, 11520, 8874, 2666, 2898, 1548, 451, 9495, 510, 2292, 2293, 629]"
9,"[451, 103, 604, 14275, 11382, 22, 813, 856, 122, 500, 510, 769, 525, 557, 1633, 180, 1624, 9434, 121, 2493]"
10,"[808, 24452, 510, 793, 63, 103, 604, 10002, 34152, 22, 576, 14412, 550, 42314, 500, 47620, 10161, 28, 769, 557]"
11,"[63, 807, 49051, 762, 510, 5925, 75612, 197, 103, 36557, 568, 15045, 1572, 11546, 11, 11450, 10195, 278, 11895, 13]"
12,"[764, 1547, 755, 11639, 847, 36658, 604, 12, 558, 1893, 14282, 24, 671, 861, 79, 957, 679, 557, 765, 180]"
13,"[6073, 767, 296, 1271, 10112, 2275, 17654, 747, 1895, 675, 27205, 19995, 2675, 1422, 49026, 24428, 2024, 641, 11678, 1726]"
14,"[11072, 11977, 37136, 8009, 4327, 862, 603, 562, 78, 607, 601, 280, 762, 4011, 533, 620, 2493, 85, 679, 1892]"
15,"[97406, 10497, 25440, 2088, 17600, 396, 21734, 31662, 2075, 48149, 9585, 219, 11700, 649, 10849, 62, 6283, 10830, 31503, 11416]"
16,"[817, 9473, 4232, 1542, 522, 597, 63, 9285, 869, 769, 2666, 818, 1493, 6957, 9340, 745, 637, 37165, 2667, 857]"
17,"[13310, 775, 2293, 71883, 10427, 10331, 261, 11302, 1630, 832, 149, 8816, 2639, 9452, 11976, 14924, 10669, 11541, 1654, 11562]"
18,"[14275, 807, 627, 18183, 687, 75, 9087, 524, 17015, 688, 103, 522, 11450, 11545, 1934, 2788, 11971, 713, 424, 36915]"
19,"[22292, 25010, 16771, 335, 379, 4485, 9387, 16619, 403, 1779, 10340, 12230, 11704, 10403, 3121, 10669, 14412, 11541, 1654, 14831]"
20,"[4584, 18183, 43828, 2320, 9268, 530, 1645, 9066, 95, 18, 11031, 28257, 604, 11071, 39314, 9671, 32644, 12478, 8536]"
21,"[25010, 3035, 967, 153, 705, 144, 641, 12311, 14886, 22292, 73, 658, 122, 10549, 473, 1366, 4485, 627, 703, 903]"
22,"[9268, 37135, 10493, 768, 9480, 9208, 712, 710, 1572, 6950, 2164, 36955, 3933, 103, 9802, 8012, 9804, 27118, 29383, 36764]"
23,"[549, 9464, 11911, 12761, 582, 6977, 7857, 2074, 14285, 577, 20862, 3133, 219, 5683, 11104, 5894, 22625, 32325, 159185, 2636]"
24,"[14, 500, 769, 11, 424, 862, 712, 629, 275, 278, 11860, 858, 10534, 11062, 9304, 105, 1645, 3595, 9359, 9390]"
25,"[10586, 279, 3034, 2322, 856, 11000, 2493, 8866, 2054, 862, 603, 562, 78, 607, 87, 1893, 601, 280, 762, 4011]"
26,"[55, 11253, 650, 1577, 68726, 11397, 8271, 15472, 1991, 14836, 8065, 2014, 54580, 7973, 10872, 3716, 43423, 345, 2280, 19311]"
27,"[128857, 16379, 603, 372981, 863, 9320, 620, 16158, 7443, 11546, 808, 11895, 13795, 134, 98, 857, 786, 550, 862, 197]"
28,"[808, 712, 601, 137, 9087, 629, 4011, 604, 11, 241, 236, 22, 9800, 16520, 114719, 11969, 1893, 275, 11712, 194]"
29,"[808, 274, 861, 137, 63, 11, 73, 101, 100, 1893, 17654, 745, 9806, 14, 120, 550, 616, 122, 1891, 85]"
30,"[10443, 90214, 163, 303, 64382, 490, 1480, 910, 653, 65203, 43278, 10002, 9465, 1902, 3035, 3114, 1908, 10784, 1443, 39391]"
31,"[137113, 1771, 118340, 1271, 1724, 2080, 13475, 68718, 10528, 10138, 1858, 49026, 24428, 27205, 19995, 36557, 641, 10681, 10191, 9502]"
32,"[562, 1891, 218, 105, 89, 98, 424, 664, 274, 607, 9800, 807, 2064, 8963, 6950, 788, 8012, 771, 114, 37233]"
33,"[4816, 7345, 1630, 975, 14285, 2118, 9452, 15389, 10403, 9975, 16281, 11072, 20604, 23626, 14438, 3033, 968, 16448, 1621, 244]"
34,"[1092, 3063, 577, 12626, 604, 22, 153, 17600, 585, 10388, 27854, 3078, 4808, 705, 3083, 43795, 32574, 777, 1850, 557]"
35,"[2109, 11971, 9869, 11808, 10249, 10669, 9008, 1779, 11597, 10440, 26408, 3035, 11527, 5548, 4203, 11159, 9716, 2756, 10608, 769]"
36,"[12106, 11545, 1542, 100, 9473, 37094, 957, 1832, 252, 75, 184, 1878, 649, 115, 2108, 510, 1024, 2118, 949, 10531]"
37,"[509, 981, 213, 1585, 475, 702, 37247, 2108, 9354, 12665, 9325, 9598, 10693, 9603, 10882, 4978, 197, 34584, 568, 414]"
38,"[8051, 11454, 19426, 692, 1018, 3175, 593, 9741, 110465, 949, 1572, 293660, 205, 979, 37975, 125705, 17057, 649, 67479, 10531]"
39,"[862, 9614, 103, 11017, 11, 4518, 11382, 2788, 9593, 695, 23210, 9032, 2667, 11543, 2668, 562, 10218, 500, 10537, 8872]"
40,"[322, 1858, 773, 4638, 34505, 13643, 1548, 17431, 76757, 21921, 623, 28963, 34513, 11031, 273248, 559, 194662, 11072, 186, 87827]"
41,"[935, 28257, 2021, 33743, 984, 8764, 3291, 7270, 6479, 6964, 623, 3034, 16320, 9372, 1817, 2503, 11639, 9434, 583, 85]"
42,"[3049, 500, 769, 525, 756, 2323, 578, 762, 807, 744, 87, 235, 9377, 4011, 275, 2064, 858, 251, 114, 1892]"
43,"[451, 103, 1572, 238, 550, 510, 769, 9366, 98, 2118, 2649, 9659, 489, 115, 134, 629, 278, 687, 857, 581]"
44,"[1701, 754, 863, 9536, 812, 9032, 2293, 745, 808, 11017, 12, 137, 9806, 11543, 585, 9390, 329, 11977, 9327, 2320]"
